Name,Accuracy,Damage,Defense,Description,Type,Rank,FixedDrop
Rusty Sword,1,1,,Little more than a fragile stick of rusted metal. Where did you find this and why did you bring it into a dungeon?,Weapon,1,0
Short Sword,1,2,,"A rogue’s short sword, about 3 feet long. Suitable for defense when nothing else is available.",Weapon,1,0
Long Sword,2,2,,A typical knight’s sword. No duller than any other blade but the length provides for extra reach.,Weapon,1,0
Spear,3,1,,"A simple, almost primitive, spear topped with an iron sheaf. Surprisingly accurate but does little damage.",Weapon,1,0
Crossbow,3,4,,"A complex, wooden crossbow with a winch mechanism. Fires bolts with tremendous force.",Weapon,3,0
Long Bow,4,3,,A traditional wooden bow favored by the Elves. Tremendously accurate but limited by human strength.,Weapon,2,0
Scimitar,3,5,,A curved blade from a foreign land. Hard to use but good at opening wounds.,Weapon,3,0
Katana,3,6,,"A rare weapon forged in Eastern lands. Light and wieldy, able to slice with ease.",Weapon,4,0
Morningstar,4,4,,"A metal, spiked cudgel employed by certain priestly sects. Robust and easy to use.",Weapon,2,0
Warhammer,2,5,,A weighty iron hammer on a long haft. Slow and unforgiving but able to deal powerful blows.,Weapon,2,0
Glaive,5,4,,"A large, curved blade affixed to a spear-length shaft. Surprisingly devastating in the right hands.",Weapon,3,0
Trident,4,5,,"Once a tool for fishing, it has been militarized to impressive effect. Favored by mysterious clans of the Central Sea.",Weapon,5,0
Odachi,3,7,,A huge katana made for slicing the legs off cavalry horses. Extremely slow but devastating.,Weapon,6,0
Rapier,6,2,,"A light, quick, pointed weapon intended for fencing. Highly accurate but can only deal slight damage.",Weapon,2,0
Reiterschwerter,2,3,1,A cavalry saber with a basket hilt. Similar to a long sword although the hilt grants slight defense.,Weapon,3,0
Lance,3,3,,"A large, heavy spear meant for thrusting on horseback. Moderately effective on foot.",Weapon,3,0
Whip,6,1,,"A long, flexible strap meant for taming beasts. Incredibly fast but can only produce superficial wounds.",Weapon,2,0
Barbed Wire,1,1,,Only a maniac would wrap barbed wire around one’s fists. What do you intend to do with this?,Weapon,4,0
Meteor Hammer,3,5,,An exotic weapon consisting of heavy metal weights connected via a chain. Awkward to use but can catch opponents off-guard.,Weapon,7,0
Axe,2,6,,"A militarized chopping axe, heavy and slow. A favorite among lesser races who value power above all else.",Weapon,1,0
Club,4,2,,Nothing more than a weighty piece of debris. Surprisingly effective at bludgeoning.,Weapon,1,0
Bo Staff,3,3,2,"A martial staff wielded by Eastern men. Meant for parrying attacks as much as delivering them, thus adding to one’s defense.",Weapon,5,0
Tonfa,2,3,1,"A club-like weapon held with a reverse grip. Better than using one’s fists alone. Also meant for parrying attacks, thus adding to one’s defense.",Weapon,4,0
War Banner,3,2,2,"A rare find: a spear with a martial banner attached. The banner flutters as it is waved, providing a defensive distraction.",Weapon,8,0
Pistol,1,7,,A matchlock pistol of simple design. Fires ball rounds. Highly inaccurate but when it does connect it can easily cripple an opponent.,Weapon,8,0
Rifle,3,10,,"A matchlock rifle with a long barrel. Fires ball rounds. Slightly more accurate than a pistol, thanks to its length, and much more damaging. A single shot can fell weaker creatures.",Weapon,9,0
Siege Cannon,2,20,,A colossal iron cannon capable of firing heavy ammunition. Absurdly weighty and slow. Only a madman would think about firing this.,Weapon,9,0
Urumi,2,9,,"Essentially, a flexible metal whip. Dangerous to the user and rather unwieldly, it nevertheless can sever limbs thanks to its thin steel blade.",Weapon,7,0
Autocross,5,7,,An ancient weapon of a bygone era. Its boxy construction resembles a cross and it is held with a reverse grip. Emits harnessed light.,Weapon,8,0
